Player,Input Array,,NHL.com Predictions,S.W.A.T.,NHLe (NL Ice Data),NHLe (Patrick Bacon),,Games Played,Total Points,Point Pace
Lane Hutson,"[""Lane"",""Hutson"",""D"",""NCAA"",None,69,162,20.59,38,15,49,1.29,2024]",,38,46,26,21,,46,38,68
Matvei Michkov,"[""Matvei"",""Michkov"",""F"",""KHL"",None,70,172,19.77,47,19,41,0.87,2024]",,60,40,45,55,,45,33,60
Macklin Celebrini,"[""Macklin"",""Celebrini"",""F"",""NCAA"",None,72,190,18.26,38,32,64,1.68,2024]",,59,43,35,27,,36,32,73
Logan Stankoven,"[""Logan"",""Stankoven"",""F"",""AHL"",None,68,165,21.55,47,24,57,1.21,2024]",,61,37,53,39,,44,23,43
Cutter Gauthier,"[""Cutter"",""Gauthier"",""F"",""NCAA"",None,74,201,20.66,41,38,65,1.59,2024]",,46,37,33,25,,46,20,36
Emil Heineman,"[""Emil"",""Heineman"",""F"",""AHL"",None,74,198,22.83,48,15,29,0.6,2024]",,,18,26,19,,41,17,34
Will Smith,"[""Will"",""Smith"",""F"",""NCAA"",None,72,181,19.49,41,25,71,1.73,2024]",,59,45,36,28,,40,15,31
Zack Bolduc,"[""Zack"",""Bolduc"",""F"",""AHL"",None,72,187,21.56,50,8,25,0.5,2024]",,,25,22,16,,39,15,32
Marco Kasper,"[""Marco"",""Kasper"",""F"",""AHL"",None,73,183,20.44,71,14,35,0.49,2024]",,,27,21,16,,41,14,28
Jackson Blake,"[""Jackson"",""Blake"",""F"",""NCAA"",None,71,178,21.12,40,22,60,1.5,2024]",,,32,31,24,,46,14,25
Mackie Samoskevich,"[""Mackie"",""Samoskevich"",""F"",""AHL"",None,71,180,21.83,62,22,54,0.87,2024]",,,27,38,28,,42,13,25
Mavrik Bourque,"[""Mavrik"",""Bourque"",""F"",""AHL"",None,71,181,22.69,71,26,77,1.08,2024]",,42,31,47,35,,41,12,24
Conor Geekie,"[""Conor"",""Geekie"",""F"",""WHL"",None,76,207,20.36,29,23,50,1.72,2024]",,,33,23,20,,42,12,23
Jiri Kulich,"[""Jiri"",""Kulich"",""F"",""AHL"",None,73,190,20.42,57,27,45,0.79,2024]",,,28,34,25,,31,9,24
Zachary L'Heureux,"[""Zachary"",""L'Heureux"",""F"",""AHL"",None,71,197,21.33,66,19,48,0.73,2024]",,,24,32,23,,37,9,20
Nolan Allan,"[""Nolan"",""Allan"",""D"",""AHL"",None,74,195,21.38,60,5,17,0.28,2024]",,,14,12,9,,38,8,17
Brett Berard,"[""Brett"",""Berard"",""F"",""AHL"",None,69,175,22.02,71,25,48,0.68,2024]",,,21,29,22,,19,7,30
Mikael Pyyhtia,"[""Mikael"",""Pyyhtia"",""F"",""AHL"",None,72,176,22.74,60,7,28,0.47,2024]",,,26,20,15,,36,6,14
Jack Thompson,"[""Jack"",""Thompson"",""D"",""AHL"",None,73,189,22.49,46,5,32,0.7,2024]",,,19,30,22,,14,5,29
Victor Mancini,"[""Victor"",""Mancini"",""D"",""NCAA"",None,75,229,22.3,40,4,10,0.25,2024]",,,13,5,4,,15,5,27
Fedor Svechkov,"[""Fedor"",""Svechkov"",""F"",""AHL"",None,72,187,21.44,57,16,39,0.68,2024]",,,30,30,22,,16,5,26
Emil Andrae,"[""Emil"",""Andrae"",""D"",""AHL"",None,69,189,22.56,61,5,32,0.52,2024]",,,14,23,17,,20,5,21
Isaiah George,"[""Isaiah"",""George"",""D"",""OHL"",None,73,196,20.58,68,6,30,0.44,2024]",,,10,6,5,,28,5,15
Rory Kerins,"[""Rory"",""Kerins"",""F"",""AHL"",None,70,175,22.43,54,16,32,0.59,2024]",,,27,26,19,,4,4,82
Seamus Casey,"[""Seamus"",""Casey"",""D"",""NCAA"",None,69,162,20.69,40,7,45,1.13,2024]",,,44,23,18,,8,4,41
Fraser Minten,"[""Fraser"",""Minten"",""F"",""WHL"",None,74,195,20.19,36,19,38,1.06,2024]",,,23,14,12,,11,4,30
Frank Nazar,"[""Frank"",""Nazar"",""F"",""NCAA"",None,69,175,20.67,41,17,41,1,2024]",,,26,21,16,,17,4,19
Ivan Miroshnichenko,"[""Ivan"",""Miroshnichenko"",""F"",""AHL"",None,73,185,20.61,47,9,25,0.53,2024]",,,31,23,17,,18,4,18
Aatu Raty,"[""Aatu"",""Raty"",""F"",""AHL"",None,74,190,21.84,72,18,52,0.72,2024]",,,25,31,23,,20,4,16
Zack Ostapchuk,"[""Zack"",""Ostapchuk"",""F"",""AHL"",None,76,212,21.29,69,17,28,0.41,2024]",,,18,18,13,,32,4,10
Marat Khusnutdinov,"[""Marat"",""Khusnutdinov"",""F"",""KHL"",None,71,176,22.16,49,6,20,0.41,2024]",,,22,21,26,,43,4,8
Josh Doan,"[""Josh"",""Doan"",""F"",""AHL"",None,74,198,22.62,62,26,46,0.74,2024]",,45,19,32,24,,14,3,18
Nikita Chibrikov,"[""Nikita"",""Chibrikov"",""F"",""AHL"",None,70,170,21.58,70,17,47,0.67,2024]",,,27,29,21,,4,3,62
Logan Mailloux,"[""Logan"",""Mailloux"",""D"",""AHL"",None,75,213,21.42,72,14,47,0.65,2024]",,,33,28,21,,5,3,49
Luca Del Bel Belluz,"[""Luca"",""Del"",""F"",""AHL"",None,73,185,20.85,58,9,31,0.53,2024]",,,31,23,17,,5,3,49
Colton Dach,"[""Colton"",""Dach"",""F"",""AHL"",None,76,196,21.7,48,11,27,0.56,2024]",,,26,24,18,,8,3,31
Jonathan Lekkerimaki,"[""Jonathan"",""Lekkerimaki"",""F"",""SHL"",None,71,172,20.14,46,19,31,0.67,2024]",,,32,33,31,,11,3,22
Denton Mateychuk,"[""Denton"",""Mateychuk"",""D"",""WHL"",None,71,185,20.18,52,17,75,1.44,2024]",,,34,19,17,,12,3,21
Maveric Lamoureux,"[""Maveric"",""Lamoureux"",""D"",""QMJHL"",None,78,196,20.67,39,9,33,0.85,2024]",,,11,10,8,,15,3,16
Adam Wilsby,"[""Adam"",""Wilsby"",""D"",""AHL"",None,73,188,24.11,61,8,21,0.34,2024]",,,13,15,11,,16,3,15
Lian Bichsel,"[""Lian"",""Bichsel"",""D"",""SHL"",None,79,231,20.33,29,2,4,0.14,2024]",,,9,7,6,,8,2,21
Cole Reinhardt,"[""Cole"",""Reinhardt"",""F"",""AHL"",None,73,207,24.62,56,8,23,0.41,2024]",,,17,18,13,,12,2,14
Oliver Kapanen,"[""Oliver"",""Kapanen"",""F"",""Liiga"",None,74,194,21.13,51,14,34,0.67,2024]",,,16,24,24,,12,2,14
Louis Crevier,"[""Louis"",""Crevier"",""D"",""AHL"",None,80,228,23.36,41,3,11,0.27,2024]",,,12,12,9,,17,2,10
Owen Pickering,"[""Owen"",""Pickering"",""D"",""WHL"",None,77,200,20.63,59,7,46,0.78,2024]",,,18,10,9,,23,2,7
Samuel Helenius,"[""Samuel"",""Helenius"",""F"",""AHL"",None,78,201,21.8,69,8,19,0.28,2024]",,,13,12,9,,23,2,7
Gage Goncalves,"[""Gage"",""Goncalves"",""F"",""AHL"",None,73,184,23.66,69,13,58,0.84,2024]",,,32,37,27,,26,2,6
Ethan Cardwell,"[""Ethan"",""Cardwell"",""F"",""AHL"",None,71,180,22.04,71,23,43,0.61,2024]",,,22,26,19,,6,1,14
Helge Grans,"[""Helge"",""Grans"",""D"",""AHL"",None,76,205,22.35,56,1,8,0.14,2024]",,,9,6,5,,6,1,14
Tyson Kozak,"[""Tyson"",""Kozak"",""F"",""AHL"",None,71,185,21.71,41,5,12,0.29,2024]",,,14,13,9,,7,1,12
Calum Ritchie,"[""Calum"",""Ritchie"",""F"",""OHL"",None,74,185,19.65,50,28,80,1.6,2024]",,,21,22,19,,7,1,12
Ryan Winterton,"[""Ryan"",""Winterton"",""F"",""AHL"",None,74,175,21.03,58,22,35,0.6,2024]",,,31,26,19,,8,1,10
Shakir Mukhamadullin,"[""Shakir"",""Mukhamadullin"",""D"",""AHL"",None,76,200,22.68,55,7,34,0.62,2024]",,,27,27,20,,10,1,8
Matt Rempe,"[""Matt"",""Rempe"",""F"",""AHL"",None,81,255,22.21,43,8,12,0.28,2024]",,,12,12,9,,11,1,7
Sam Colangelo,"[""Sam"",""Colangelo"",""F"",""NCAA"",None,74,211,22.72,38,24,43,1.13,2024]",,,28,23,18,,12,1,7